fecha,regular - gtq/galon,superior - gtq/galon,diesel - gtq/galon,glp cilindro 25lbs. - gtq/lb
2025-01-01 00:00:00,27.45,28.95,25.47,4.4
2025-01-02 00:00:00,27.45,28.95,25.47,4.4
2025-01-03 00:00:00,27.45,28.95,25.47,4.4
2025-01-04 00:00:00,27.45,28.95,25.47,4.4
2025-01-05 00:00:00,27.45,28.95,25.47,4.4
2025-01-06 00:00:00,28.05,29.56,26.18,4.4
2025-01-07 00:00:00,28.05,29.56,26.18,4.4
2025-01-08 00:00:00,28.05,29.56,26.18,4.4
2025-01-09 00:00:00,28.05,29.56,26.18,4.4
2025-01-10 00:00:00,28.05,29.56,26.18,4.4
2025-01-11 00:00:00,28.05,29.56,26.18,4.4
2025-01-12 00:00:00,28.05,29.56,26.18,4.4
2025-01-13 00:00:00,28.63,30.14,26.75,4.4
2025-01-14 00:00:00,28.63,30.14,26.75,4.4
2025-01-15 00:00:00,28.63,30.14,26.75,4.4
2025-01-16 00:00:00,28.63,30.14,26.75,4.4
2025-01-17 00:00:00,28.63,30.14,26.75,4.4
2025-01-18 00:00:00,28.63,30.14,26.75,4.4
2025-01-19 00:00:00,28.63,30.14,26.75,4.4
2025-01-20 00:00:00,29.12,30.63,27.74,4.4
2025-01-21 00:00:00,29.12,30.63,27.74,4.4
2025-01-22 00:00:00,29.12,30.63,27.74,4.4
2025-01-23 00:00:00,29.12,30.63,27.74,4.4
2025-01-24 00:00:00,29.12,30.63,27.74,4.4
2025-01-25 00:00:00,29.12,30.63,27.74,4.4
2025-01-26 00:00:00,29.12,30.63,27.74,4.4
2025-01-27 00:00:00,29.11,30.61,27.73,4.4
2025-01-28 00:00:00,29.11,30.61,27.73,4.4
2025-01-29 00:00:00,29.11,30.61,27.73,4.4
2025-01-30 00:00:00,29.11,30.61,27.73,4.4
2025-01-31 00:00:00,29.11,30.61,27.73,4.4
2025-02-01 00:00:00,29.11,30.61,27.73,4.4
2025-02-02 00:00:00,29.11,30.61,27.73,4.4
2025-02-03 00:00:00,28.18,30.67,27.79,4.54
2025-02-04 00:00:00,28.18,30.67,27.79,4.68
2025-02-05 00:00:00,28.18,30.67,27.79,4.68
2025-02-06 00:00:00,28.18,30.67,27.79,4.68
2025-02-07 00:00:00,28.18,30.67,27.79,4.68
2025-02-08 00:00:00,28.18,30.67,27.79,4.68
2025-02-09 00:00:00,28.18,30.67,27.79,4.68
2025-02-10 00:00:00,28.66,30.17,27.02,4.68
2025-02-11 00:00:00,28.66,30.17,27.02,4.68
2025-02-12 00:00:00,28.66,30.17,27.02,4.68
2025-02-13 00:00:00,28.66,30.17,27.02,4.68
2025-02-14 00:00:00,28.66,30.17,27.02,4.68
2025-02-15 00:00:00,28.66,30.17,27.02,4.68
2025-02-16 00:00:00,28.66,30.17,27.02,4.68
2025-02-17 00:00:00,29.18,30.69,27.58,4.74
2025-02-18 00:00:00,29.18,30.69,27.58,4.74
2025-02-19 00:00:00,29.18,30.69,27.58,4.8
2025-02-20 00:00:00,29.18,30.69,27.58,4.8
2025-02-21 00:00:00,29.18,30.69,27.58,4.8
2025-02-22 00:00:00,29.18,30.69,27.58,4.8
2025-02-23 00:00:00,29.18,30.69,27.58,4.8
2025-02-24 00:00:00,29.26,30.76,27.67,4.8
2025-02-25 00:00:00,29.26,30.76,27.67,4.8
2025-02-26 00:00:00,29.26,30.76,27.67,4.8
2025-02-27 00:00:00,29.26,30.76,27.67,4.8
2025-02-28 00:00:00,29.26,30.76,27.67,4.8
2025-03-01 00:00:00,29.26,30.76,27.67,4.8
2025-03-02 00:00:00,29.26,30.76,27.67,4.8
2025-03-03 00:00:00,29.26,30.76,27.67,4.8
2025-03-04 00:00:00,29.26,30.76,27.67,4.8
2025-03-05 00:00:00,29.26,30.76,27.67,4.8
2025-03-06 00:00:00,29.26,30.76,27.67,4.8
2025-03-07 00:00:00,29.26,30.76,27.67,4.8
2025-03-08 00:00:00,29.26,30.76,27.67,4.8
2025-03-09 00:00:00,29.26,30.76,27.67,4.8
2025-03-10 00:00:00,28.39,29.88,26.81,4.8
2025-03-11 00:00:00,28.39,29.88,26.81,4.8
2025-03-12 00:00:00,28.39,29.88,26.81,4.8
2025-03-13 00:00:00,28.39,29.88,26.81,4.8
2025-03-14 00:00:00,28.39,29.88,26.81,4.8
2025-03-15 00:00:00,28.39,29.88,26.81,4.8
2025-03-16 00:00:00,28.39,29.88,26.81,4.8
2025-03-17 00:00:00,28.17,29.68,26.08,4.8
2025-03-18 00:00:00,28.17,29.68,26.08,4.8
2025-03-19 00:00:00,28.17,29.68,26.08,4.8
2025-03-20 00:00:00,28.17,29.68,26.08,4.8
2025-03-21 00:00:00,28.17,29.68,26.08,4.8
2025-03-22 00:00:00,28.17,29.68,26.08,4.8
2025-03-23 00:00:00,28.17,29.68,26.08,4.8
2025-03-24 00:00:00,28.89,30.39,25.76,4.8
2025-03-25 00:00:00,28.89,30.39,25.76,4.8
2025-03-26 00:00:00,28.89,30.39,25.76,4.8
2025-03-27 00:00:00,28.89,30.39,25.76,4.8
2025-03-28 00:00:00,28.89,30.39,25.76,4.8
2025-03-29 00:00:00,28.89,30.39,25.76,4.8
