mes_ocu,dia_sem_ocu,hora_ocu,g_hora,depto_ocu,mupio_ocu,zona_ocu,mayor_menor,tipo_veh,color_veh,modelo_veh,marca_veh,anio_ocu_file,tipo_eve,edad_grupo,fall_les,sexo_vic,int_o_noint,num_corre,anio_ocu_dataset,anio_ocu,edad_vic
enero,martes,5,1,1,101,11,mayor,automovil,blanco,5,avanti,2013,choque,30-34,lesionado,ignorado,ignorado,1,,2013,-1
enero,martes,5,1,1,101,11,menor,automovil,blanco,5,avanti,2013,choque,15-19,lesionado,ignorado,ignorado,2,,2013,-1
enero,martes,5,1,1,101,11,mayor,automovil,blanco,5,avanti,2013,choque,30-34,lesionado,ignorado,ignorado,3,,2013,-1
enero,martes,0,1,19,1901,99,mayor,motocicleta,rojo,5,great wall,2013,choque,20-24,fallecimiento,ignorado,ignorado,4,,2013,-1
enero,martes,0,1,19,1901,99,mayor,motocicleta,rojo,5,great wall,2013,choque,20-24,lesionado,ignorado,ignorado,5,,2013,-1
enero,martes,18,4,19,1901,99,mayor,pick up,rojo,6,land rover,2013,vuelco,15-19,lesionado,ignorado,ignorado,6,,2013,-1
enero,martes,18,4,19,1901,99,menor,pick up,rojo,6,land rover,2013,vuelco,menor de 15,lesionado,ignorado,ignorado,7,,2013,-1
enero,martes,18,4,19,1901,99,menor,pick up,rojo,6,land rover,2013,vuelco,menor de 15,lesionado,ignorado,ignorado,8,,2013,-1
enero,martes,18,4,19,1901,99,mayor,pick up,rojo,6,land rover,2013,vuelco,20-24,lesionado,ignorado,ignorado,9,,2013,-1
enero,martes,18,4,19,1901,99,menor,pick up,rojo,6,land rover,2013,vuelco,15-19,lesionado,ignorado,ignorado,10,,2013,-1
enero,martes,18,4,19,1901,99,mayor,pick up,rojo,6,land rover,2013,vuelco,15-19,lesionado,ignorado,ignorado,11,,2013,-1
enero,martes,18,4,19,1901,99,menor,pick up,rojo,6,land rover,2013,vuelco,15-19,lesionado,ignorado,ignorado,12,,2013,-1
enero,martes,18,4,19,1901,99,menor,pick up,rojo,6,land rover,2013,vuelco,15-19,lesionado,ignorado,ignorado,13,,2013,-1
enero,martes,18,4,19,1901,99,mayor,pick up,rojo,6,land rover,2013,vuelco,15-19,lesionado,ignorado,ignorado,14,,2013,-1
enero,martes,18,4,19,1901,99,menor,pick up,rojo,6,land rover,2013,vuelco,15-19,lesionado,ignorado,ignorado,15,,2013,-1
enero,martes,0,1,5,502,99,mayor,motocicleta,negro,4,tvs apache,2013,choque,20-24,fallecimiento,ignorado,ignorado,16,,2013,-1
enero,martes,1,1,12,1217,99,mayor,motocicleta,azul,6,kenworth,2013,colision,ignorado,lesionado,ignorado,ignorado,17,,2013,-1
enero,martes,7,2,13,1322,99,mayor,pick up,ignorado,6,land rover,2013,vuelco,40-44,fallecimiento,ignorado,ignorado,18,,2013,-1
enero,martes,7,2,13,1322,99,mayor,pick up,ignorado,6,land rover,2013,vuelco,15-19,fallecimiento,ignorado,ignorado,19,,2013,-1
enero,martes,7,2,13,1322,99,mayor,pick up,ignorado,6,land rover,2013,vuelco,55 y mas,fallecimiento,ignorado,ignorado,20,,2013,-1
enero,martes,3,1,18,1801,99,mayor,motocicleta,ignorado,6,jmc,2013,choque,25-29,lesionado,ignorado,ignorado,21,,2013,-1
enero,martes,3,1,18,1801,99,mayor,motocicleta,ignorado,6,jmc,2013,choque,15-19,lesionado,ignorado,ignorado,22,,2013,-1
enero,martes,4,1,3,301,99,mayor,motocicleta,ignorado,6,jmc,2013,choque,25-29,fallecimiento,ignorado,ignorado,23,,2013,-1
enero,martes,2,1,3,308,99,mayor,motocicleta,negro,6,jmc,2013,choque,20-24,fallecimiento,ignorado,ignorado,24,,2013,-1
enero,miercoles,15,3,1,101,1,mayor,pick up,blanco,4,land rover,2013,colision,30-34,lesionado,ignorado,ignorado,25,,2013,-1
enero,miercoles,15,3,1,101,1,mayor,motocicleta,ignorado,6,jmc,2013,colision,25-29,lesionado,ignorado,ignorado,26,,2013,-1
enero,miercoles,7,2,5,501,99,mayor,motocicleta,ignorado,6,jmc,2013,colision,30-34,lesionado,ignorado,ignorado,27,,2013,-1
enero,miercoles,18,4,13,1301,3,mayor,motocicleta,ignorado,6,jmc,2013,colision,ignorado,lesionado,ignorado,ignorado,28,,2013,-1
enero,miercoles,10,2,16,1608,99,mayor,bus urbano,amarillo,3,daihatsu,2013,vuelco,40-44,lesionado,ignorado,ignorado,29,,2013,-1
enero,miercoles,10,2,16,1608,99,mayor,bus urbano,amarillo,3,daihatsu,2013,vuelco,30-34,lesionado,ignorado,ignorado,30,,2013,-1
