date,CYANO,NDVI,NDWI,lake,point,lat,lon,label
2025-02-07,123.4531021118164,0.8473581075668335,-0.8039858341217041,Atitlan,AT_P1,14.642,-91.168,1
2025-02-27,24.00528907775879,0.7301964163780212,-0.6329191327095032,Atitlan,AT_P1,14.642,-91.168,0
2025-03-04,40.273319244384766,0.7382795810699463,-0.647922694683075,Atitlan,AT_P1,14.642,-91.168,1
2025-03-14,93.25332641601562,0.7828457951545715,-0.6974273920059204,Atitlan,AT_P1,14.642,-91.168,1
2025-03-26,50.81650161743164,,,Atitlan,AT_P1,14.642,-91.168,1
2025-04-03,7.793612003326416,,,Atitlan,AT_P1,14.642,-91.168,0
2025-04-13,95.12369537353516,0.8266423940658569,-0.722891628742218,Atitlan,AT_P1,14.642,-91.168,1
2025-04-15,70.4062728881836,0.8215102553367615,-0.7289314270019531,Atitlan,AT_P1,14.642,-91.168,1
2025-04-18,75.3159408569336,0.8258867859840393,-0.7212331295013428,Atitlan,AT_P1,14.642,-91.168,1
2025-04-28,80.45756530761719,0.8282623291015625,-0.7067115306854248,Atitlan,AT_P1,14.642,-91.168,1
2025-05-13,94.04820251464844,0.832442045211792,-0.7041028141975403,Atitlan,AT_P1,14.642,-91.168,1
2025-05-28,27.163042068481445,,,Atitlan,AT_P1,14.642,-91.168,0
2025-07-17,80.64582824707031,,,Atitlan,AT_P1,14.642,-91.168,1
2025-07-24,90.36506652832031,,,Atitlan,AT_P1,14.642,-91.168,1
2025-08-01,134.07070922851562,0.869125247001648,-0.7587811946868896,Atitlan,AT_P1,14.642,-91.168,1
2025-02-07,6.054378986358643,0.2121211737394333,0.6800000667572021,Atitlan,AT_P2,14.701,-91.21,0
2025-02-27,3.453890085220337,-0.13924051821231842,0.4471544921398163,Atitlan,AT_P2,14.701,-91.21,0
2025-03-04,4.563126564025879,-0.01704542525112629,0.23620305955410004,Atitlan,AT_P2,14.701,-91.21,0
2025-03-09,2.7410879135131836,-0.13970589637756348,0.4401913583278656,Atitlan,AT_P2,14.701,-91.21,0
2025-03-14,3.2842319011688232,-0.07834101468324661,0.43342775106430054,Atitlan,AT_P2,14.701,-91.21,0
2025-03-24,3.3175017833709717,-0.12449796497821808,0.448101282119751,Atitlan,AT_P2,14.701,-91.21,0
2025-03-26,4.7285661697387695,,,Atitlan,AT_P2,14.701,-91.21,0
2025-04-03,4.142846584320068,,,Atitlan,AT_P2,14.701,-91.21,0
2025-04-13,4.2302093505859375,-0.03048781305551529,0.28216707706451416,Atitlan,AT_P2,14.701,-91.21,0
2025-04-15,2.703275680541992,-0.15646257996559143,0.545787513256073,Atitlan,AT_P2,14.701,-91.21,0
2025-04-18,4.071000099182129,-0.11538460105657578,0.5576923489570618,Atitlan,AT_P2,14.701,-91.21,0
2025-04-28,5.0876641273498535,-0.15517239272594452,0.5625,Atitlan,AT_P2,14.701,-91.21,0
2025-05-13,3.5455589294433594,-0.10344825685024261,0.44483983516693115,Atitlan,AT_P2,14.701,-91.21,0
2025-05-28,4.517274379730225,,,Atitlan,AT_P2,14.701,-91.21,0
2025-07-17,4.397731781005859,,,Atitlan,AT_P2,14.701,-91.21,0
2025-07-24,4.5662841796875,,,Atitlan,AT_P2,14.701,-91.21,0
2025-08-01,4.185762882232666,0.04504508525133133,0.17339666187763214,Atitlan,AT_P2,14.701,-91.21,0
2025-02-07,4.550082206726074,,,Amatitlan,AM_P1,14.464,-90.578,0
2025-02-27,4.410568714141846,0.1339564174413681,-0.0732187032699585,Amatitlan,AM_P1,14.464,-90.578,0
2025-03-19,4.733407974243164,,,Amatitlan,AM_P1,14.464,-90.578,0
2025-03-24,4.63473653793335,0.1415240615606308,-0.1877022385597229,Amatitlan,AM_P1,14.464,-90.578,0
2025-04-13,4.436566352844238,,,Amatitlan,AM_P1,14.464,-90.578,0
2025-04-15,5.076204299926758,0.16083917021751404,-0.2184257209300995,Amatitlan,AM_P1,14.464,-90.578,0
2025-04-18,4.994109153747559,0.19941844046115875,-0.18506105244159698,Amatitlan,AM_P1,14.464,-90.578,0
2025-04-28,4.754456043243408,0.19013747572898865,-0.22439023852348328,Amatitlan,AM_P1,14.464,-90.578,0
2025-05-03,4.423858642578125,0.17998608946800232,-0.12153235822916031,Amatitlan,AM_P1,14.464,-90.578,0
